,Age,EducationLevel,NumDependents,Latitude,Longitude,Terrorism,UserTenure,Gender_Male,Occupation_Retired,Occupation_Student,Occupation_Unemployed,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,TransactionLocation_BRISBANE,TransactionLocation_CANBERRA,TransactionLocation_DARWIN,TransactionLocation_HOBART,TransactionLocation_MELBOURNE,TransactionLocation_PERTH,TransactionLocation_SYDNEY,DeviceType_Mobile,DeviceType_Tablet,TransactionType_Purchase,TransactionType_Transfer,TransactionType_Withdrawal,GiftsTransaction_AUD_equivalent,Income_AUD_equivalent,Expenditure_AUD_equivalent,TransactionAmount_AUD_equivalent,Year,Month,Day,IsFraud
0,35,1,4,-37.0201,144.9646,True,39,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5300.0164,53733.41,29296.02,225.64,2023,9,8,no
1,23,2,2,-37.0201,144.9646,True,65,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1881.5216,54856.77,34628.31,658.1,2023,8,5,no
2,44,1,2,-30.000233,136.209152,False,95,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3849.832,59011.72,33312.46,133.59,2023,3,5,no
3,40,0,3,-37.0201,144.9646,False,85,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,18651.7128,128795.4,67049.0,6.74,2023,5,23,yes
4,18,1,3,-20.917574,142.702789,True,102,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3405.99,44506.03,22856.31,15.67,2023,11,4,no
5,34,1,0,-25.042261,117.793221,False,105,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11514.059200000002,48811.06,26419.17,149.79,2023,7,13,yes
6,39,1,3,-37.0201,144.9646,True,63,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,11669.1736,76495.07,33862.74,380.94,2023,4,19,no
7,28,1,0,-37.0201,144.9646,False,102,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7412.33,80872.99,56629.8847,58.465999999999994,2023,12,12,no
8,38,1,3,-20.917574,142.702789,False,92,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,8004.934,86743.12,39814.03,358.2,2023,12,29,no
9,23,0,3,-31.840233,145.612793,True,31,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1359.9852,117850.22,66666.27,544.78,2023,9,2,no
10,38,0,0,-35.473469,149.012375,False,78,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,18202.59,54241.12,96588.47,211.99,2023,7,5,no
11,30,1,0,-20.917574,142.702789,False,49,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1998.01,56692.4,31012.195,175.67,2023,12,18,no
12,32,1,0,-37.0201,144.9646,False,16,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1603.476,122713.34,41670.46,685.86,2023,7,15,no
13,18,0,3,-37.0201,144.9646,False,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,6422.22,70666.4,136189.03,201.0476,2023,11,18,no
14,27,1,0,-37.0201,144.9646,True,64,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,12569.872,78659.61,35699.83,216.09,2023,9,6,no
15,29000,0,1,-37.0201,144.9646,True,103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18908.1788,57799.59,44956.2,44.13,2023,3,9,no
16,42,2,3,-37.0201,144.9646,False,36,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,13997.143999999998,62742.3,28130.08,339.17,2023,12,20,no
17,19,1,3,-37.0201,144.9646,False,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4093.75,52198.82,19513.0316,81.46699999999998,2023,12,20,no
18,49,2,4,-31.840233,145.612793,False,68,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,4444.7508,77117.55,59626.5,114.54,2023,11,15,no
19,46,0,2,-37.0201,144.9646,True,48,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,16480.4444,51543.32,39487.03,1399.64,2023,8,3,no
20,31,1,4,-37.0201,144.9646,False,31,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,18761.2964,115826.88,50736.09,412.44,2023,7,17,no
21,31,0,3,-31.840233,145.612793,False,85,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6250.792799999999,82875.09,32720.78,452.35,2023,7,28,no
22,33,0,3,-30.000233,136.209152,False,70,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,12305.8208,70155.57,29204.2,11.12,2023,5,11,no
23,21,0,4,-37.0201,144.9646,False,51,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,8841.14,95798.24,64717.311,685.4667,2023,9,14,no
24,54,2,1,-25.042261,117.793221,True,62,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9342.79,87237.92,61584.066399999996,3232.9525,2023,12,24,yes
25,18,0,0,-37.0201,144.9646,False,88,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3800.5968,130969.22,80184.58,37.14,2023,10,10,no
26,35,0,4,-31.840233,145.612793,False,107,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,10998.36,55141.54,43993.1435,333.3382,2023,5,1,yes
27,34000,1,2,-31.840233,145.612793,True,97,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2047.0436000000002,55381.96,42601.84,518.84,2023,11,13,no
28,32,0,4,-31.840233,145.612793,False,66,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,12131.5572,69322.22,41214.78,87.74,2023,5,28,yes
29,41,0,0,-25.042261,117.793221,False,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1920.8783999999998,37026.32,17138.07,294.76,2023,10,13,no
